1,2,3,,,,,,,,,,,,
2,3,34,35,,,,,,,,,,,
3,4,36,,,,,,,,,,,,
4,5,8,,,,,,,,,,,,
5,8,36,19,21,20,22,24,23,25,26,27,17,16,11
6,37,7,8,,,,,,,,,,,
7,9,,,,,,,,,,,,,
8,36,19,20,21,22,27,11,18,17,24,,,,
9,10,16,12,13,37,,,,,,,,,
10,11,12,,,,,,,,,,,,
11,25,21,17,18,27,24,,,,,,,,
12,35,16,34,13,,,,,,,,,,
13,16,,,,,,,,,,,,,
14,16,32,33,17,,,,,,,,,,
15,17,,,,,,,,,,,,,
16,17,31,33,32,,,,,,,,,,
17,27,28,29,30,,,,,,,,,,
19,21,,,,,,,,,,,,,
20,21,24,,,,,,,,,,,,
21,22,24,,,,,,,,,,,,
22,24,,,,,,,,,,,,,
23,24,,,,,,,,,,,,,
24,25,,,,,,,,,,,,,
27,28,,,,,,,,,,,,,
28,29,,,,,,,,,,,,,
32,33,,,,,,,,,,,,,
34,35,,,,,,,,,,,,,
35,36,,,,,,,,,,,,,
